,seed_id
C00064_a,cpd00053
C00065_a,cpd00054
C00066_a,cpd11615
C00068_a,cpd00056
C00073_a,cpd00060
C00074_a,cpd00061
C00078_a,cpd00065
C00079_a,cpd00066
C00080_a,cpd00067
C00082_a,cpd00069
C00083_a,cpd00070
C00093_a,cpd00080
C00097_a,cpd00084
C00101_a,cpd00087
C00106_a,cpd00092
C00111_a,cpd00095
C00117_a,cpd00101
C00118_a,cpd00102
C00123_a,cpd00107
C00127_a,cpd00111
C00129_a,cpd00113
C00131_a,cpd00115
C00135_a,cpd00119
C00138_a,cpd11620
C00139_a,cpd11621
C00143_a,cpd00125
C00148_a,cpd00129
C00152_a,cpd00132
C00154_a,cpd00134
C00173_a,cpd11628
C00183_a,cpd00156
C00188_a,cpd00161
C00201_a,cpd00173
C00206_a,cpd00177
C00229_a,cpd11493
C00235_a,cpd00202
C00248_a,cpd00213
C00249_a,cpd00214
C00256_a,cpd00221
C00286_a,cpd00241
C00288_a,cpd00242
C00332_a,cpd00279
C00361_a,cpd00295
C00407_a,cpd00322
C00430_a,cpd00338
C00454_a,cpd00354
C00579_a,cpd00449
C00681_a,cpd00517
C00725_a,cpd00541
C00787_a,cpd11751
C00886_a,cpd11770
C00931_a,cpd00689
C01024_a,cpd00755
C01051_a,cpd00774
C01168_a,cpd00859
C01209_a,cpd11492
C01217_a,cpd00895
C01528_a,cpd01078
C01635_a,cpd11906
C01636_a,cpd11907
C01637_a,cpd11908
C01638_a,cpd11909
C01639_a,cpd11910
C01640_a,cpd11911
C01641_a,cpd11912
C01642_a,cpd11913
C01643_a,cpd11914
C01644_a,cpd11915
C01645_a,cpd11916
C01646_a,cpd11917
C01647_a,cpd11918
C01648_a,cpd11919
C01649_a,cpd11920
C01650_a,cpd11921
C01651_a,cpd11922
C01652_a,cpd11923
C01653_a,cpd11924
C01931_a,cpd01326
C02047_a,cpd12003
C02051_a,cpd12005
C02163_a,cpd12036
C02282_a,cpd12060
C02412_a,cpd12100
C02430_a,cpd12105
C02553_a,cpd12132
C02554_a,cpd12133
C02702_a,cpd12164
C02839_a,cpd12194
C02972_a,cpd12225
C02984_a,cpd12226
C02987_a,cpd12227
C02988_a,cpd12228
C02992_a,cpd12229
C03125_a,cpd12255
C03127_a,cpd12256
C03145_a,cpd02012
C03263_a,cpd02083
C03402_a,cpd12313
C03451_a,cpd02182
C03511_a,cpd12335
C03512_a,cpd12336
C03561_a,cpd02234
C03939_a,cpd11494
C04088_a,cpd12458
C04246_a,cpd11465
C04377_a,cpd02679
C04419_a,cpd12543
C04432_a,cpd12546
C04618_a,cpd11478
C04619_a,cpd11482
C04620_a,cpd11483
C04633_a,cpd11481
C04688_a,cpd11484
C04742_a,cpd02890
C04805_a,cpd02918
C05125_a,cpd03049
C05198_a,cpd03091
C05223_a,cpd11468
C05335_a,cpd03163
C05336_a,cpd12704
C05356_a,cpd03176
C05688_a,cpd03389
C05689_a,cpd03390
C05703_a,cpd03401
C05744_a,cpd11488
C05745_a,cpd11464
C05746_a,cpd11486
C05747_a,cpd11479
C05748_a,cpd11473
C05749_a,cpd11472
C05750_a,cpd11490
C05751_a,cpd11471
C05752_a,cpd11470
C05753_a,cpd11487
C05754_a,cpd11475
C05755_a,cpd11474
C05756_a,cpd11489
C05757_a,cpd11480
C05758_a,cpd11469
C05759_a,cpd11491
C05760_a,cpd11467
C05761_a,cpd11466
C05762_a,cpd11485
C05763_a,cpd11477
C05764_a,cpd11476
C05766_a,cpd03414
C05768_a,cpd03416
C05966_a,cpd03555
C06112_a,cpd12828
C06250_a,cpd12848
C11434_a,cpd08286
C11435_a,cpd08287
C11436_a,cpd08288
C11437_a,cpd08289
C11453_a,cpd08301
C11811_a,cpd08615
C15972_a,cpd00213
C15973_a,cpd00449
C16216_a,cpd14935
C16217_a,cpd14936
C16219_a,cpd14938
C16220_a,cpd14939
C16221_a,cpd14940
C16236_a,cpd14953
C16237_a,cpd14954
